collected_at,run,global_step,run_progress,train_loss,eval_bpb,mfu,tokens_per_second,total_tokens,drop_fraction,grad_norm
2026-09-15T17:17:07+00:00,hero-ragged_a2a-nccl2307-ep-step81k,108257,0.2774035172235305,1.2024370431900024,0.6459736824035645,23.27684127470537,2735959.930967782,4994736586752.0,0.00011130930347876115,0.6571059823036194
2026-09-15T17:25:50+00:00,hero-mix-996f4891-step108k,108002,0.27675009160770886,1.2329611778259277,,20.77555779482445,2441959.069932462,4982971564032.0,9.446579850081241e-05,0.6021624803543091
2026-09-15T21:32:53+00:00,hero-mix-996f4891-step108k,108710,0.2785643086116371,1.2335823774337769,,23.617895836129946,2776047.484228087,5015636803584.0,0.0001358740370381962,0.6097234487533569
2026-09-16T05:00:25+00:00,hero-nopdl-step108k,109899,0.2816110656987426,1.232496976852417,,23.68087667378476,2783450.251906432,5070494105600.0,8.877208738616018e-05,0.7644768953323364
2026-09-16T11:51:57+00:00,hero-nopdl-step108k,111296,0.2851908130920869,1.2241321802139282,0.6459954977035522,24.14511347018292,2838016.6451054295,5134947975168.0,0.00010304299719405897,0.5174012780189514
2026-09-16T17:10:07+00:00,hero-nopdl-step108k,112373,0.28795057539890995,1.223130464553833,0.6459954977035522,23.850779539247107,2803420.6347679053,5184637894656.0,0.00010851776283798796,0.5917141437530518
2026-09-16T21:28:55+00:00,hero-nopdl-step108k,113250,0.2901978470266572,1.2226876020431519,0.6459954977035522,24.192666464743855,2843606.024101523,5225100345344.0,0.0001088935656077934,0.6732743978500366
2026-09-17T05:02:56+00:00,hero-nopdl-step108k,114556,0.29354441116102203,1.2172064781188965,0.6462509036064148,24.252147031592543,2850597.3699481827,5285355716608.0,0.00011776049028743397,0.5467382073402405
2026-09-17T11:54:29+00:00,hero-nopdl-step108k,115968,0.297162595355297,1.21151864528656,0.6462509036064148,24.19325854649325,2843675.617390539,5350501646336.0,0.00014414920499830535,0.9755408763885498
2026-09-17T17:10:26+00:00,hero-nopdl-step108k,117048,0.29993004502230614,1.215268611907959,0.6455652713775635,24.0653980012418,2828646.888860272,5400329977856.0,9.199401194399053e-05,0.6838297843933105
2026-09-17T21:32:24+00:00,hero-nopdl-step108k,117944,0.3022260032645656,1.2113343477249146,0.6455652713775635,24.077314061040692,2830047.5025328933,5441669038080.0,9.538825940002094e-05,0.6591503620147705
2026-09-18T04:55:33+00:00,hero-nopdl-step108k,119271,0.30562637892023337,1.2157423496246338,0.6455652713775635,22.35267422687821,2627333.335866858,5502893293568.0,0.00012047114697369662,0.6545648574829102
2026-09-18T11:31:30+00:00,hero-nopdl-step108k,120388,0.3084886393628716,1.2181494235992432,0.645601749420166,24.27650355773784,2853460.236039189,5554428706816.0,0.00010054129542726459,0.7471745610237122
2026-09-18T16:35:05+00:00,hero-nopdl-step108k,121431,0.31116127825425177,1.2275080680847168,0.645601749420166,17.09791849463432,2009689.3453969988,5602549956608.0,0.00011625107039104809,0.7462716102600098
2026-09-18T21:03:03+00:00,hero-main-step121638,121933,0.3124476298587319,1.223509430885315,0.645601749420166,24.381464038726975,2865797.291008647,5625710903296.0,8.442207719340469e-05,0.5575432181358337
2026-09-19T04:47:30+00:00,hero-main-step121638,123515,0.31650143113022133,1.234529733657837,0.6453309059143066,24.231774959128494,2848202.8365441603,5698700181504.0,8.324211971326308e-05,0.7338777184486389
2026-09-19T11:15:20+00:00,hero-main-step121638,124733,0.3196224993657928,1.2163127660751343,0.6453309059143066,24.178237224230646,2841910.0111669274,5754895466496.0,9.212287312204188e-05,0.8566816449165344
2026-09-19T15:58:12+00:00,hero-main-step121638,125692,0.32207989217196115,1.2021088600158691,0.6453309059143066,24.151719209978875,2838793.0837631854,5799141179392.0,7.252366931149454e-05,0.8821003437042236
2026-09-19T20:51:51+00:00,hero-main-step121638,126683,0.3246192834867816,1.2194325923919678,0.6442465782165527,23.955003074699174,2815671.0691586975,5844863287296.0,9.820892503767303e-05,0.7340103983879089
2026-09-20T05:04:45+00:00,hero-main-step121638,128355,0.32890370556385506,1.2268404960632324,0.6442465782165527,24.215456772150613,2846284.7968414947,5922004926464.0,7.481427129470941e-05,0.6867371201515198
2026-09-20T11:38:28+00:00,hero-main-step121638,129695,0.3323373931136627,1.2139465808868408,0.6440606713294983,24.30360838631053,2856646.1375984023,5983828967424.0,8.86406297936584e-05,0.7004052400588989
2026-09-20T16:19:32+00:00,hero-main-step121638,130651,0.33478709855964495,1.231135606765747,0.6440606713294983,22.518333960761517,2646804.9810411553,6027936268288.0,6.819217268264654e-05,0.7316864132881165
2026-09-20T20:56:59+00:00,hero-main-step121638,131599,0.3372163043784641,1.1992474794387817,0.6440606713294983,24.142841637703306,2837749.6139150397,6071674470400.0,8.54878488815192e-05,0.7264481782913208
2026-09-21T05:10:26+00:00,hero-main-step121638,133270,0.3414981640021422,1.2114787101745605,0.6433337926864624,24.15427893522718,2839093.9538697,6148769972224.0,7.657768825689952e-05,0.901569664478302
2026-09-21T13:04:09+00:00,hero-main-step121638,134883,0.3456314013288883,1.1985713243484497,0.6433337926864624,24.213723443750617,2846081.061420799,6223189508096.0,9.91037849223975e-05,0.6704176664352417
2026-09-21T22:04:50+00:00,hero-main-step121638,136714,0.35032325349582705,1.2269246578216553,0.6432623863220215,24.321626674287327,2858764.00717303,6307666984960.0,8.87430188330737e-05,0.7099704146385193
